"","b/se","b/se","b/se","b/se"
"F_FH_10","-0.294505","-0.164552","-0.509751","-0.010864"
"","0.556137","0.274919","0.377627","0.296556"
"F_FH_9","0.049998","0.152018","0.091092","-0.102974"
"","0.729603","0.271541","0.471990","0.285480"
"F_FH_8","0.320702","0.075342","0.093847","-0.015873"
"","0.703315","0.305777","0.501663","0.322166"
"F_FH_7","0.807079","-0.152292","0.480135","-0.283248"
"","0.546718","0.306383","0.454449","0.302225"
"F_FH_6","-0.019577","0.158368","0.143693","0.048042"
"","0.462533","0.250009","0.335308","0.285466"
"F_FH_5","0.523260","0.046832","0.183731","0.054044"
"","0.383589","0.229522","0.343376","0.270901"
"F_FH_4","0.579239","-0.208089","0.221025","-0.342984"
"","0.380545","0.204331","0.319006","0.228032"
"F_FH_3","-0.247433","0.079746","0.080221","-0.031738"
"","0.408492","0.216943","0.366556","0.226063"
"F_FH_2","0.350402","-0.104165","0.444165","-0.325778"
"","0.276593","0.171678","0.219520","0.193342"
"F_FH_1","0.000000","0.000000","0.000000","0.000000"
"",".",".",".","."
"L_FH_0","0.142723","-0.174637","0.023938","-0.376745"
"","0.223901","0.185740","0.224506","0.202863"
"L_FH_1","0.182731","-0.069171","0.137276","-0.257904"
"","0.295322","0.191171","0.272679","0.225721"
"L_FH_2","0.219289","0.228743","0.261469","0.029067"
"","0.324698","0.191158","0.247951","0.223461"
"L_FH_3","-0.220907","0.119012","-0.145813","-0.072113"
"","0.309353","0.218852","0.241129","0.239436"
"L_FH_4","0.627836","0.306232","0.582077","0.129195"
"","0.332042","0.194588","0.237000","0.221684"
"L_FH_5","0.425484","0.277239","0.614838","-0.023743"
"","0.368097","0.259599","0.276764","0.302610"
"L_FH_6","0.090663","0.256748","-0.076031","0.068509"
"","0.301362","0.260159","0.258206","0.307984"
"L_FH_7","0.444992","0.101223","0.327746","-0.096482"
"","0.395618","0.290002","0.295481","0.322434"
"L_FH_8","0.926577","0.148826","0.804291","-0.026660"
"","0.346420","0.298728","0.281480","0.357415"
"L_FH_9","0.268674","0.264429","0.777157","0.140032"
"","0.428285","0.340741","0.391170","0.382905"
"L_FH_10","0.285680","0.244634","0.538015","0.020984"
"","0.268521","0.281728","0.235853","0.297006"
"N","","","",""
"lincom1_estimate",".2069165","-.0116791",".1228159","-.1011372"
"lincom1_p",".5527771",".9384345",".604808",".5117263"
"lincom2_estimate",".308522",".1548434",".3495421","-.0423509"
"lincom2_p",".1065124",".3459984",".0192836",".823821"
"ktest_p",".000861",".7420472",".1174822",".5656675"
