="",="Count",="IHS(Count)",="Rate",="IHS(Rate)"
="",="b/se",="b/se",="b/se",="b/se"
="F_FH_10",="-0.0228",="-0.1553",="1.0729",="-0.2050"
="",="(0.6610)",="(0.1435)",="(1.9251)",="(0.2433)"
="F_FH_9",="0.0720",="-0.0063",="0.9659",="0.0409"
="",="(0.6494)",="(0.1545)",="(2.0557)",="(0.2650)"
="F_FH_8",="0.3676",="0.0190",="3.1903",="0.0801"
="",="(0.5662)",="(0.1444)",="(2.4501)",="(0.2590)"
="F_FH_7",="0.3260",="-0.0237",="1.8881",="0.0235"
="",="(0.5989)",="(0.1629)",="(2.0660)",="(0.2660)"
="F_FH_6",="0.6212",="0.0790",="1.5366",="0.0154"
="",="(0.4816)",="(0.1280)",="(1.8697)",="(0.2229)"
="F_FH_5",="0.5230",="0.0670",="1.4046",="0.0963"
="",="(0.4397)",="(0.1265)",="(1.6076)",="(0.2081)"
="F_FH_4",="0.4765",="0.0054",="1.9362",="-0.0255"
="",="(0.3765)",="(0.1115)",="(1.4988)",="(0.1892)"
="F_FH_3",="0.3325",="0.0687",="1.0447",="0.0704"
="",="(0.3283)",="(0.1090)",="(1.2493)",="(0.1926)"
="F_FH_2",="0.2188",="0.0319",="1.4075",="0.0964"
="",="(0.2732)",="(0.0898)",="(0.9658)",="(0.1523)"
="F_FH_1",="0.0000",="0.0000",="0.0000",="0.0000"
="",="(.)",="(.)",="(.)",="(.)"
="L_FH_0",="0.0891",="-0.0292",="0.2703",="-0.1246"
="",="(0.2661)",="(0.0856)",="(1.0513)",="(0.1395)"
="L_FH_1",="0.6516*",="0.0924",="1.6714",="0.0199"
="",="(0.3345)",="(0.0882)",="(1.0863)",="(0.1477)"
="L_FH_2",="0.9298***",="0.2478***",="2.5277**",="0.2796*"
="",="(0.3313)",="(0.0897)",="(1.0389)",="(0.1500)"
="L_FH_3",="0.8222*",="0.1484",="1.9410",="0.0259"
="",="(0.4485)",="(0.1042)",="(1.3892)",="(0.1556)"
="L_FH_4",="0.8779*",="0.3091***",="2.5679*",="0.3850***"
="",="(0.4925)",="(0.0916)",="(1.3508)",="(0.1398)"
="L_FH_5",="1.2930",="0.2608**",="2.5867",="0.3083"
="",="(0.8647)",="(0.1213)",="(1.5817)",="(0.1906)"
="L_FH_6",="1.1222**",="0.2675**",="1.7718",="0.1597"
="",="(0.5689)",="(0.1211)",="(1.4755)",="(0.1791)"
="L_FH_7",="0.9942",="0.2562*",="2.5004",="0.2166"
="",="(0.6853)",="(0.1427)",="(2.3777)",="(0.2196)"
="L_FH_8",="1.5679**",="0.4101***",="3.9816*",="0.4539**"
="",="(0.7589)",="(0.1494)",="(2.2447)",="(0.2199)"
="L_FH_9",="2.2276**",="0.4533***",="5.3666*",="0.4221*"
="",="(1.0991)",="(0.1544)",="(3.0101)",="(0.2389)"
="L_FH_10",="1.2728",="0.3421***",="3.0465*",="0.3145**"
="",="(0.8904)",="(0.1195)",="(1.7527)",="(0.1593)"
="N",="",="",="",=""
